#separator:tab
#html:true
#columns:Hanzi	Pinyin	English	Breakdown	Examples	Note	Context	Hint	Link	Tags
#tags column:10
坦白说	tǎn bái shuō	frankly speaking	坦 (frank) 白 (plain) 说 (say)	坦白说，我对这个结果不太满意。 / Frankly speaking, I’m not very satisfied with this result.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%9D%A6%E7%99%BD%E8%AF%B4	conversation-glue opinion production-ready
要我说	yào wǒ shuō	if you ask me	要 (if) 我 (I) 说 (say)	要我说，这个办法更好。 / If you ask me, this method is better.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%A6%81%E6%88%91%E8%AF%B4	conversation-glue opinion production-ready
我看	wǒ kàn	I’d say / in my view	我 (I) 看 (see)	我看这件事没那么简单。 / I’d say this matter isn’t that simple.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%88%91%E7%9C%8B	conversation-glue opinion production-ready
真的吗	zhēn de ma	really?	真 (real) 的 (particle) 吗 (question)	真的吗？太好了！ / Really? That’s great!				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%9C%9F%E7%9A%84%E5%90%97	reaction production-ready
不会吧	bú huì ba	no way / seriously?	不 (not) 会 (possible) 吧 (modal)	不会吧！你真的做到了？ / No way! You actually did it?				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B8%8D%E4%BC%9A%E5%90%A7	reaction production-ready
原来如此	yuán lái rú cǐ	I see / so that’s how it is	原 (originally) 来 (come) 如 (so) 此 (this)	原来如此，我明白了。 / So that’s how it is — I understand now.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%8E%9F%E6%9D%A5%E5%A6%82%E6%AD%A4	conversation-glue reaction production-ready
没想到	méi xiǎng dào	I didn’t expect that	没 (not) 想 (think) 到 (reach)	没想到他会来！ / I didn’t expect him to come!				https://www.chineseidioms.com/phrases/mei-xiang-dao	reaction production-ready
有意思	yǒu yì si	interesting	有 (have) 意 (meaning) 思 (thought)	这个想法很有意思。 / This idea is interesting.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%9C%89%E6%84%8F%E6%80%9D	reaction production-ready
然后呢	rán hòu ne	and then what?	然 (so) 后 (after) 呢 (modal)	你到了那里，然后呢？ / You got there, and then what?				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%84%B6%E5%90%8E%E5%91%A2	conversation-glue production-ready
确实	què shí	indeed / true	确 (certainly) 实 (truly)	确实，这个问题比我想的更复杂。 / Indeed, this problem is more complicated than I thought.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%A1%AE%E5%AE%9E	conversation-glue agreement production-ready
这样啊	zhè yàng a	oh, I see / so that's how it is	这 (this) 样 (way) 啊 (modal)	这样啊，那我明白了。 / Oh, I see — I understand now.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%BF%99%E6%A0%B7%E5%95%8A	conversation-glue reaction production-ready
难怪	nán guài	no wonder	难 (hardly) 怪 (strange)	难怪他昨天那么累。 / No wonder he was so tired yesterday.				https://www.mdbg.net/chinese/dictionary?wdqb=%E9%9A%BE%E6%80%AA	conversation-glue reaction production-ready
而且	ér qiě	and also / moreover	而 (and) 且 (also)	这家店东西好吃，而且很便宜。 / This place has good food, and it’s also cheap.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%80%8C%E4%B8%94	connector production-ready
另外	lìng wài	additionally / also	另 (other) 外 (outside)	另外，我还想问你一件事。 / Also, I’d like to ask you something else.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%8F%A6%E5%A4%96	connector production-ready
还有	hái yǒu	and another thing / also	还 (also) 有 (have)	我需要买水果，还有牛奶。 / I need to buy fruit, and also milk.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%BF%98%E6%9C%89	connector production-ready
不但…而且	bú dàn ér qiě	not only…but also	不 (not) 但 (only) 而 (and) 且 (also)	这个方法不但简单，而且效果很好。 / This method is not only simple, but also effective.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B8%8D%E4%BD%86%E2%80%A6%E8%80%8C%E4%B8%94	connector pattern production-ready
甚至	shèn zhì	even	甚 (even) 至 (reach)	他太忙了，甚至没时间吃饭。 / He’s so busy he doesn’t even have time to eat.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%94%9A%E8%87%B3	connector production-ready
再加上	zài jiā shàng	on top of that	再 (again) 加 (add) 上 (on)	人不够，再加上天气不好，计划取消了。 / There weren’t enough people, and on top of that the weather was bad, so the plan was cancelled.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%86%8D%E5%8A%A0%E4%B8%8A	connector production-ready
特别是	tè bié shì	especially	特 (special) 别 (kind) 是 (be)	我喜欢水果，特别是苹果。 / I like fruit, especially apples.		spoken (vs 尤其是)		https://www.mdbg.net/chinese/dictionary?wdqb=%E7%89%B9%E5%88%AB%E6%98%AF	connector production-ready
不过	bú guò	but / however	不 (not) 过 (pass)	这道菜不错，不过有点咸。 / This dish is good, but a bit salty.		casual contrast		https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B8%8D%E8%BF%87	connector contrast production-ready
虽然…但是	suī rán dàn shì	although…but	虽 (although) 然 (so) 但 (but) 是 (be)	虽然很累，但是我觉得值得。 / Although I’m tired, I think it was worth it.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%99%BD%E7%84%B6%E2%80%A6%E4%BD%86%E6%98%AF	connector pattern production-ready
反而	fǎn ér	instead (unexpectedly) / contrary to expectation	反 (opposite) 而 (yet)	我没复习，考试反而考得更好。 / I didn’t review, but actually did better on the exam.<br>我帮他，他反而生气了。 / I helped him, but he got angry instead.	Adverb inside the second clause. Marks an unexpected reversal. Cannot stand alone as a discourse marker — for that use 相反.	adverb — result violates expectation	expected A → got B instead<br>goes mid-clause, not sentence-start	https://www.mdbg.net/chinese/dictionary?wdqb=%E5%8F%8D%E8%80%8C	connector contrast production-ready
另一方面	lìng yì fāng miàn	on the other hand	另 (other) 一 (one) 方 (side) 面 (face)	一方面我想出国，另一方面我不想离开家人。 / On one hand I want to go abroad; on the other, I don’t want to leave my family.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%8F%A6%E4%B8%80%E6%96%B9%E9%9D%A2	connector contrast production-ready
相反	xiāng fǎn	opposite / on the contrary	相 (mutually) 反 (opposite)	我们的想法完全相反。 / Our ideas are completely opposite.<br>他不懒，相反，他很努力。 / He’s not lazy; on the contrary, he works very hard.	Two uses: (1) adjective “opposite” — 我们的想法完全相反 / our ideas are completely opposite. (2) sentence-opener “on the contrary” — 他不懒。相反，他很努力。 Unlike 反而, no expectation-violation required; just states opposition.	adjective, or sentence-initial connector	A 和 B ___ (opposite) · ___，... (on the contrary)<br>does NOT sit mid-clause	https://www.mdbg.net/chinese/dictionary?wdqb=%E7%9B%B8%E5%8F%8D	connector contrast production-ready
不管怎样	bù guǎn zěn yàng	anyway / no matter what	不 (not) 管 (regardless) 怎 (how) 样 (way)	不管怎样，我都会去。 / No matter what, I will go.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B8%8D%E7%AE%A1%E6%80%8E%E6%A0%B7	connector production-ready
因为…所以	yīn wèi suǒ yǐ	because…so	因 (because) 为 (for) 所 (that) 以 (therefore)	因为他每天练习，所以进步很快。 / Because he practices every day, he improves quickly.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%9B%A0%E4%B8%BA%E2%80%A6%E6%89%80%E4%BB%A5	connector pattern production-ready
这就是为什么	zhè jiù shì wèi shén me	this is why	这 (this) 就 (precisely) 是 (be) 为 (for) 什 (what) 么 (suffix)	这就是为什么我觉得学汉字很重要。 / This is why I think learning characters is important.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%BF%99%E5%B0%B1%E6%98%AF%E4%B8%BA%E4%BB%80%E4%B9%88	connector production-ready
反正	fǎn zhèng	anyway / in any case	反 (anyway) 正 (regardless)	反正已经迟到了，别着急了。 / We’re already late anyway, so don’t stress.		speaker-resigned 'anyway'		https://www.mdbg.net/chinese/dictionary?wdqb=%E5%8F%8D%E6%AD%A3	conversation-glue production-ready
既然	jì rán	since / now that	既 (since) 然 (so)	既然已经决定了，就不要后悔。 / Since you’ve already decided, don’t regret it.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%97%A2%E7%84%B6	connector production-ready
结果	jié guǒ	as a result	结 (result) 果 (outcome)	他没准备，结果失败了。 / He didn’t prepare, and as a result he failed.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%BB%93%E6%9E%9C	connector production-ready
换句话说	huàn jù huà shuō	in other words	换 (change) 句 (sentence) 话 (words) 说 (say)	换句话说，这个问题其实没那么复杂。 / In other words, this problem actually isn’t that complicated.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%8D%A2%E5%8F%A5%E8%AF%9D%E8%AF%B4	clarification production-ready
我的意思是	wǒ de yì si shì	what I mean is	我 (I) 的 (possessive) 意 (meaning) 思 (thought) 是 (be)	我的意思是，还有更好的选择。 / What I mean is, there are better options.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%88%91%E7%9A%84%E6%84%8F%E6%80%9D%E6%98%AF	clarification production-ready
简单来说	jiǎn dān lái shuō	simply put	简 (simple) 单 (single) 来 (come) 说 (say)	简单来说，你需要多练习。 / Simply put, you need to practice more.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%AE%80%E5%8D%95%E6%9D%A5%E8%AF%B4	clarification production-ready
所以说	suǒ yǐ shuō	so what I’m saying is	所 (so) 以 (therefore) 说 (say)	所以说，我们应该早点准备。 / So what I’m saying is, we should prepare earlier.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%89%80%E4%BB%A5%E8%AF%B4	clarification production-ready
要不然	yào bù rán	otherwise	要 (if) 不 (not) 然 (so)	你得快点，要不然我们会迟到。 / You need to hurry, otherwise we’ll be late.		spoken (vs 否则)		https://www.mdbg.net/chinese/dictionary?wdqb=%E8%A6%81%E4%B8%8D%E7%84%B6	connector production-ready
对了	duì le	by the way / oh right	对 (right) 了 (particle)	对了，我差点忘了告诉你一件事。 / Oh right, I almost forgot to tell you something.		just-remembered transition		https://www.mdbg.net/chinese/dictionary?wdqb=%E5%AF%B9%E4%BA%86	conversation-glue transition production-ready
说到这个	shuō dào zhè ge	speaking of this	说 (speak) 到 (to) 这 (this) 个 (measure)	说到这个，我想起来一件事。 / Speaking of this, I remembered something.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%AF%B4%E5%88%B0%E8%BF%99%E4%B8%AA	conversation-glue transition production-ready
总之	zǒng zhī	in short / anyway	总 (overall) 之 (particle)	事情很复杂，总之最后解决了。 / It was complicated, but in short, it was resolved.<br>别问那么多，总之你听我的就对了。 / Stop asking so much — anyway, just do as I say.<br>总之，我们现在必须出发。 / Anyway, we have to leave now.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%80%BB%E4%B9%8B	summary production-ready
顺便说一下	shùn biàn shuō yí xià	by the way	顺 (along) 便 (convenient) 说 (say) 一 (one) 下 (moment)	顺便说一下，明天我不在。 / By the way, I won’t be here tomorrow.		planned mention (vs 对了)		https://www.mdbg.net/chinese/dictionary?wdqb=%E9%A1%BA%E4%BE%BF%E8%AF%B4%E4%B8%80%E4%B8%8B	transition production-ready
换个话题	huàn gè huà tí	change the subject	换 (change) 个 (measure) 话 (talk) 题 (topic)	别说这个了，换个话题吧。 / Let’s not talk about this; let’s change the subject.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%8D%A2%E4%B8%AA%E8%AF%9D%E9%A2%98	conversation-glue transition production-ready
我同意	wǒ tóng yì	I agree	我 (I) 同 (same) 意 (opinion)	我同意你的看法。 / I agree with your opinion.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%88%91%E5%90%8C%E6%84%8F	agreement production-ready
没错	méi cuò	exactly / that’s right	没 (not) 错 (wrong)	没错，问题就在这里。 / Exactly, that’s where the problem is.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%B2%A1%E9%94%99	agreement production-ready
对对对	duì duì duì	right, right, right	对 (right)	对对对，我也是这么想的。 / Right, right, right, I also think so.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%AF%B9%E5%AF%B9%E5%AF%B9	agreement production-ready
也是	yě shì	that’s true	也 (also) 是 (be)	外面太冷了。也是，那我们就待在家吧。 / It’s too cold outside. True, then let’s stay home.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B9%9F%E6%98%AF	agreement production-ready
你说得对	nǐ shuō dé duì	you’re right	你 (you) 说 (say) 得 (particle) 对 (right)	你说得对，我从来没想过这个角度。 / You’re right, I never thought about it from this angle.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%BD%A0%E8%AF%B4%E5%BE%97%E5%AF%B9	agreement production-ready
我不是说	wǒ bú shì shuō	I’m not saying	我 (I) 不 (not) 是 (be) 说 (say)	我不是说你做得不好，只是觉得可以更好。 / I’m not saying you did badly, I just think it could be better.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%88%91%E4%B8%8D%E6%98%AF%E8%AF%B4	clarification production-ready
话是这么说	huà shì zhè me shuō	that may be true, but…	话 (words) 是 (be) 这 (this) 么 (suffix) 说 (say)	话是这么说，但是做起来没那么容易。 / That may be true, but it’s not that easy to do.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%AF%9D%E6%98%AF%E8%BF%99%E4%B9%88%E8%AF%B4	disagreement-softener production-ready
也许我是错的	yě xǔ wǒ shì cuò de	I may be wrong	也 (also) 许 (perhaps) 我 (I) 是 (be) 错 (wrong) 的 (particle)	也许我是错的，但是我觉得我们走错方向了。 / I may be wrong, but I think we’re going the wrong way.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B9%9F%E8%AE%B8%E6%88%91%E6%98%AF%E9%94%99%E7%9A%84	disagreement-softener production-ready
不一定	bù yí dìng	not necessarily	不 (not) 一 (one) 定 (certain)	学得久不一定学得好。 / Studying for a long time doesn’t necessarily mean studying well.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B8%8D%E4%B8%80%E5%AE%9A	disagreement-softener production-ready
也不能这么说	yě bù néng zhè me shuō	not quite / you can’t really say that	也 (also) 不 (not) 能 (can) 这 (this) 么 (suffix) 说 (say)	中文太难了！也不能这么说，关键是看你怎么学。 / Chinese is too hard! Not quite — the key is how you study.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B9%9F%E4%B8%8D%E8%83%BD%E8%BF%99%E4%B9%88%E8%AF%B4	disagreement-softener production-ready
最重要的是	zuì zhòng yào de shì	the most important thing is	最 (most) 重 (heavy) 要 (important) 的 (particle) 是 (be)	最重要的是每天都练习。 / The most important thing is to practice every day.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%9C%80%E9%87%8D%E8%A6%81%E7%9A%84%E6%98%AF	emphasis production-ready
关键是	guān jiàn shì	the key is	关 (crucial) 键 (key) 是 (be)	关键是你有没有用对方法。 / The key is whether you’re using the right method.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%85%B3%E9%94%AE%E6%98%AF	emphasis production-ready
毕竟	bì jìng	after all	毕 (finally) 竟 (after all)	毕竟他只学了半年，已经很不错了。 / After all, he has only studied for half a year, so it’s already pretty good.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%AF%95%E7%AB%9F	connector production-ready
更重要的是	gèng zhòng yào de shì	more importantly	更 (more) 重 (heavy) 要 (important) 的 (particle) 是 (be)	更重要的是，大家都同意。 / More importantly, everyone agrees.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%9B%B4%E9%87%8D%E8%A6%81%E7%9A%84%E6%98%AF	emphasis production-ready
油管	yóu guǎn	YouTube	油 (oil) 管 (tube)	我经常在油管上看中文视频。 / I often watch Chinese videos on YouTube.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%B2%B9%E7%AE%A1	internet-media everyday-vocab recognition-ready
幸会	xìng huì	pleasure to meet you	幸 (lucky) 会 (meet)	幸会幸会，很高兴认识你。 / Pleasure to meet you, nice to make your acquaintance. Slightly formal/polite.		formal/polite greeting		https://www.mdbg.net/chinese/dictionary?wdqb=%E5%B9%B8%E4%BC%9A	useful-phrases greeting formal recognition-ready
蛋白质	dàn bái zhì	protein	蛋 (egg) 白 (white) 质 (substance)	鸡蛋和肉都有很多蛋白质。 / Eggs and meat have a lot of protein.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%9B%8B%E7%99%BD%E8%B4%A8	food health everyday-vocab
碳水	tàn shuǐ	carbs / carbohydrates	碳 (carbon) 水 (water)	米饭和面条都是碳水。 / Rice and noodles are both carbs. Casual short form of 碳水化合物.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%A2%B3%E6%B0%B4	food health everyday-vocab
最后	zuì hòu	finally	最 (most) 后 (after)	最后我想强调的是，方法比努力更重要。 / Finally, what I want to emphasize is that method matters more than effort.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%9C%80%E5%90%8E	summary production-ready
那就这样吧	nà jiù zhè yàng ba	let’s leave it at that	那 (then) 就 (just) 这 (this) 样 (way) 吧 (modal)	好的，那就这样吧，回头再联系。 / Alright, let’s leave it at that and talk later.				https://www.mdbg.net/chinese/dictionary?wdqb=%E9%82%A3%E5%B0%B1%E8%BF%99%E6%A0%B7%E5%90%A7	closing production-ready
先这样	xiān zhè yàng	that’s all for now	先 (first) 这 (this) 样 (way)	好，先这样，我们明天再聊。 / Okay, that’s all for now; let’s talk tomorrow.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%85%88%E8%BF%99%E6%A0%B7	closing production-ready
回头再说	huí tóu zài shuō	let’s talk later / we’ll discuss it later	回 (return) 头 (head) 再 (again) 说 (say)	这件事先不急，回头再说。 / This isn’t urgent; let’s talk about it later.		vague 'we'll see' deferral		https://www.mdbg.net/chinese/dictionary?wdqb=%E5%9B%9E%E5%A4%B4%E5%86%8D%E8%AF%B4	closing production-ready
我先走了	wǒ xiān zǒu le	I’ll get going	我 (I) 先 (first) 走 (leave) 了 (perfective)	好了，我先走了，下次再见！ / Alright, I’ll get going. See you next time!				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%88%91%E5%85%88%E8%B5%B0%E4%BA%86	closing production-ready
改天再聊	gǎi tiān zài liáo	let’s chat another day	改 (change) 天 (day) 再 (again) 聊 (chat)	今天聊得很开心，改天再聊！ / It was great chatting today; let’s talk another day!		concrete 'another day'		https://www.mdbg.net/chinese/dictionary?wdqb=%E6%94%B9%E5%A4%A9%E5%86%8D%E8%81%8A	closing production-ready
过奖了	guò jiǎng le	you flatter me	过 (over) 奖 (praise) 了 (particle)	你中文说得真好！过奖了，我还在学习。 / Your Chinese is really good! You flatter me, I’m still learning.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%BF%87%E5%A5%96%E4%BA%86	conversation-glue useful-phrases production-ready
一般来说	yì bān lái shuō	generally speaking	一 (one) 般 (kind) 来 (come) 说 (say)	一般来说，我晚上比较有空。 / Generally speaking, I’m more free in the evening.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B8%80%E8%88%AC%E6%9D%A5%E8%AF%B4	conversation-glue connector production-ready
抖音	dǒu yīn	Douyin / Chinese TikTok	抖 (shake) 音 (sound)	这个视频是在抖音上火起来的。 / This video became popular on Douyin.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%8A%96%E9%9F%B3	internet-media everyday-vocab recognition-ready
民歌	mín gē	folk song	民 (folk) 歌 (song)	我想听一些中国民歌。 / I want to listen to some Chinese folk songs.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%B0%91%E6%AD%8C	culture everyday-vocab
省份	shěng fèn	province	省 (province) 份 (share)	四川是中国的一个省份。 / Sichuan is a province in China.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%9C%81%E4%BB%BD	culture everyday-vocab
母语	mǔ yǔ	native language	母 (mother) 语 (language)	你的母语是什么？ / What is your native language?				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%AF%8D%E8%AF%AD	language-learning everyday-vocab
网飞	wǎng fēi	Netflix	网 (net) 飞 (fly)	你平时看网飞吗？ / Do you usually watch Netflix?				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%BD%91%E9%A3%9E	internet-media everyday-vocab
歌词	gē cí	lyrics	歌 (song) 词 (words)	这首歌的歌词很美。 / The lyrics of this song are beautiful.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%AD%8C%E8%AF%8D	media everyday-vocab
心灵鸡汤	xīn líng jī tāng	motivational / inspirational content, often cliché or cheesy	心 (heart) 灵 (spirit) 鸡 (chicken) 汤 (soup)	这句话有点像心灵鸡汤。 / This sentence is kind of like motivational cliché content.		internet-dismissive label		https://www.mdbg.net/chinese/dictionary?wdqb=%E5%BF%83%E7%81%B5%E9%B8%A1%E6%B1%A4	internet-media culture recognition-ready
本科	běn kē	bachelor’s degree / undergraduate program	本 (root) 科 (field)	我现在在读本科。 / I’m currently studying for a bachelor’s degree.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%9C%AC%E7%A7%91	education everyday-vocab
发财	fā cái	to get rich / make a fortune	发 (issue) 财 (wealth)	祝你新年发财！ / Wishing you prosperity in the new year!				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%8F%91%E8%B4%A2	everyday-vocab
抱负	bào fù	aspiration / ambition	抱 (embrace) 负 (carry)	他是一个很有抱负的人。 / He is a very ambitious person.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%8A%B1%E8%B4%9F	personality everyday-vocab
圣诞节	shèng dàn jié	Christmas	圣 (holy) 诞 (birth) 节 (festival)	你圣诞节有什么计划？ / What plans do you have for Christmas?				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%9C%A3%E8%AF%9E%E8%8A%82	holiday culture everyday-vocab
圣诞老人	shèng dàn lǎo rén	Santa Claus	圣 (holy) 诞 (birth) 老 (old) 人 (person)	小孩子相信圣诞老人。 / Children believe in Santa Claus.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%9C%A3%E8%AF%9E%E8%80%81%E4%BA%BA	holiday culture everyday-vocab
积累知识	jī lěi zhī shí	to accumulate knowledge	积 (accumulate) 累 (pile) 知 (know) 识 (knowledge)	学语言需要慢慢积累知识。 / Learning a language requires slowly accumulating knowledge.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%A7%AF%E7%B4%AF%E7%9F%A5%E8%AF%86	education useful-phrases
朝代	cháo dài	dynasty	朝 (dynasty) 代 (era)	唐朝是中国历史上很有名的朝代。 / The Tang was a famous dynasty in Chinese history.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%9C%9D%E4%BB%A3	culture-history everyday-vocab
下载	xià zài	to download	下 (down) 载 (load)	我已经下载了这个软件。 / I already downloaded this software.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B8%8B%E8%BD%BD	technology everyday-vocab
座右铭	zuò yòu míng	motto / life motto	座 (seat) 右 (right) 铭 (inscription)	你的座右铭是什么？ / What is your motto?				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%BA%A7%E5%8F%B3%E9%93%AD	everyday-vocab
目标	mù biāo	goal / target	目 (eye) 标 (mark)	我的目标是每天学习中文。 / My goal is to study Chinese every day.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%9B%AE%E6%A0%87	everyday-vocab
有道理吗	yǒu dào lǐ ma	does that make sense?	有 (have) 道 (way) 理 (reason) 吗 (question)	我这样说有道理吗？ / Does what I’m saying make sense?			production: ends with 吗	https://www.mdbg.net/chinese/dictionary?wdqb=%E6%9C%89%E9%81%93%E7%90%86%E5%90%97	conversation-glue useful-phrases production-ready
极光	jí guāng	aurora / northern lights	极 (pole) 光 (light)	在芬兰有时候可以看到极光。 / In Finland, sometimes you can see the aurora.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%9E%81%E5%85%89	nature everyday-vocab
诗词	shī cí	poetry / classical poetry	诗 (poetry) 词 (lyric)	我想学习一些中国诗词。 / I want to study some Chinese poetry.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%AF%97%E8%AF%8D	culture everyday-vocab
俚语	lǐ yǔ	slang	俚 (slang) 语 (language)	这个词是俚语吗？ / Is this word slang?				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%BF%9A%E8%AF%AD	language-learning everyday-vocab
本地	běn dì	local	本 (this) 地 (place)	这是本地人常去的餐厅。 / This is a restaurant local people often go to.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%9C%AC%E5%9C%B0	everyday-vocab
土生土长	tǔ shēng tǔ zhǎng	born and raised locally	土 (local) 生 (born) 长 (raised)	他是土生土长的北京人。 / He was born and raised in Beijing.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%9C%9F%E7%94%9F%E5%9C%9F%E9%95%BF	culture useful-phrases
佩服	pèi fú	to admire / respect	佩 (admire) 服 (respect)	我很佩服你的坚持。 / I really admire your persistence.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%BD%A9%E6%9C%8D	emotions-opinions everyday-vocab
